Latitude,Longitude,Incident_Date,NPA,Weapon,Age,Gender,Race,Year,Month,Weekday,Hour,Weapon_Simplified
35.22636874276593,-80.77258903902111,2024-05-12,389,Handgun,,Male,Hispanic,2024,5,6,0,Gun
35.21091978182481,-80.6824848215198,2024-05-05,323,Handgun,51.0,Male,Black,2024,5,6,0,Gun
35.29540789753931,-80.81459106894344,2024-05-02,150,Handgun,26.0,Male,Black,2024,5,3,0,Gun
35.24306975668835,-80.75651859611656,2024-04-29,223,Rifle,42.0,Unknown,Other/Unknown,2024,4,0,0,Gun
35.24306975668835,-80.75651859611656,2024-04-29,223,Rifle,31.0,Unknown,Other/Unknown,2024,4,0,0,Gun
35.24306975668835,-80.75651859611656,2024-04-29,223,Rifle,46.0,Unknown,Other/Unknown,2024,4,0,0,Gun
35.24306975668835,-80.75651859611656,2024-04-29,223,Rifle,48.0,Unknown,Other/Unknown,2024,4,0,0,Gun
35.183613631003716,-80.93942668589395,2024-04-28,174,Handgun,21.0,Male,White,2024,4,6,0,Gun
35.18073852712783,-80.88929930609805,2024-04-19,178,Handgun,45.0,Male,Black,2024,4,4,0,Gun
35.21762639209041,-80.68061078851655,2024-04-12,229,Handgun,17.0,Male,Black,2024,4,4,0,Gun
35.217580590024276,-80.70411425166999,2024-04-12,323,Handgun,21.0,Male,Hispanic,2024,4,4,0,Gun
35.24660953193659,-80.84369007234409,2024-04-11,182,Handgun,37.0,Male,Black,2024,4,3,0,Gun
35.25567930862976,-80.82968667845685,2024-04-07,363,Handgun,21.0,Male,Hispanic,2024,4,6,0,Gun
35.305868401319685,-80.72423682856163,2024-03-31,299,Handgun,25.0,Male,Black,2024,3,6,0,Gun
35.26662310536087,-80.88196720975516,2024-03-29,141,Handgun,17.0,Male,Black,2024,3,4,0,Gun
35.19599685629266,-80.72005035114793,2024-03-28,268,Handgun,26.0,Male,Black,2024,3,3,0,Gun
35.25423505826613,-80.92749649561786,2024-03-26,258,Firearm,36.0,Male,Black,2024,3,1,0,Gun
35.26291548180729,-80.88181448649516,2024-03-22,385,Handgun,44.0,Male,Black,2024,3,4,0,Gun
35.242286337309146,-80.97636280538107,2024-03-21,286,Handgun,53.0,Male,Black,2024,3,3,0,Gun
35.25819436632843,-80.89711419028096,2024-03-17,385,Handgun,31.0,Male,Black,2024,3,6,0,Gun
35.3050064366513,-80.85829538976138,2024-03-17,260,Handgun,26.0,Female,Black,2024,3,6,0,Gun
35.26310683110108,-80.87975824828521,2024-03-16,141,Vehicle,58.0,Male,Black,2024,3,5,0,Other
35.281115781398,-80.76660946037732,2024-03-15,103,Unknown,0.0,Male,Black,2024,3,4,0,Other
35.281115781398,-80.76660946037732,2024-03-15,103,Unknown,22.0,Female,Black,2024,3,4,0,Other
35.281115781398,-80.76660946037732,2024-03-15,103,Unknown,4.0,Female,Black,2024,3,4,0,Other
35.30406407489038,-80.84786485546653,2024-03-14,125,Handgun,20.0,Male,Black,2024,3,3,0,Gun
35.14443216829786,-80.96308988862579,2024-03-12,313,Handgun,23.0,Male,Black,2024,3,1,0,Gun
35.20246592399154,-80.87196407757907,2024-03-09,30,Firearm,21.0,Male,Black,2024,3,5,0,Gun
35.22951228466798,-80.83978965384726,2024-03-04,476,Knife,46.0,Female,White,2024,3,0,0,Blade
35.236417910022915,-80.85780212501128,2024-02-29,51,Handgun,24.0,Male,White,2024,2,3,0,Gun
35.2249698578412,-80.9044083268897,2024-02-15,387,Handgun,24.0,Male,Black,2024,2,3,0,Gun
35.08476759276398,-80.98394480632967,2024-02-14,289,Handgun,32.0,Female,White,2024,2,2,0,Gun
35.245809513382184,-80.9369383248376,2024-02-14,119,Rifle,21.0,Male,Black,2024,2,2,0,Gun
35.13909691144983,-80.94068963499373,2024-02-13,95,Firearm,39.0,Male,Black,2024,2,1,0,Gun
35.182100517171584,-80.87578084705322,2024-02-11,13,Handgun,26.0,Male,Black,2024,2,6,0,Gun
35.25878807550923,-80.87772529887664,2024-02-04,292,Handgun,47.0,Male,Black,2024,2,6,0,Gun
35.172259037377216,-80.72946941782025,2024-02-01,186,Physical,21.0,Female,Hispanic,2024,2,3,0,Other
35.254238362058366,-80.86360272092253,2024-02-01,85,Firearm,17.0,Male,Black,2024,2,3,0,Gun
35.13895534830676,-80.88505245761804,2024-01-27,71,"Handgun, Rifle",26.0,Male,Hispanic,2024,1,5,0,Gun
35.13895534830676,-80.88505245761804,2024-01-27,71,"Handgun, Rifle",32.0,Male,Black,2024,1,5,0,Gun
35.13895534830676,-80.88505245761804,2024-01-27,71,"Handgun, Rifle",25.0,Male,Black,2024,1,5,0,Gun
35.14980826850671,-80.88027099880514,2024-01-25,71,Handgun,21.0,Female,Hispanic,2024,1,3,0,Gun
